Designator,Mid X,Mid Y,Rotation,Layer
C1,96.8,-90.7,180.0,top
C10,93.1,-113.2,270.0,top
C11,96.2,-107.7,0.0,top
C12,94.5,-105.2,0.0,top
C13,88.5,-105.3,180.0,top
C14,87.3,-112.5,270.0,top
C15,87.2,-110.2,180.0,top
C16,87.2,-106.4,180.0,top
C17,143.9,-103.4,180.0,top
C18,156.0,-103.4,0.0,top
C19,144.5,-104.9,180.0,top
C2,96.1,-99.3,0.0,top
C20,155.4,-104.9,0.0,top
C21,98.0,-102.8,270.0,top
C22,91.1,-102.6,90.0,top
C23,86.2,-99.8,180.0,top
C24,92.4,-95.5,270.0,top
C25,92.4,-98.7,90.0,top
C3,96.1,-93.3,180.0,top
C4,96.1,-88.1,270.0,top
C5,109.9,-103.4,180.0,top
C6,122.0,-103.4,0.0,top
C7,110.5,-104.9,180.0,top
C8,121.4,-104.9,0.0,top
C9,96.6,-113.7,0.0,top
D1,94.1,-90.1,270.0,top
D2,110.045,-114.5225,90.0,top
D3,121.9,-114.5,90.0,top
D4,94.1,-87.7,270.0,top
D5,144.1,-114.5,90.0,top
D6,156.2,-114.5,90.0,top
J1,116.0,-108.79,270.0,top
J2,116.0,-108.51,90.0,top
J3,150.0,-108.79,270.0,top
J4,150.0,-108.51,90.0,top
L1,96.7,-111.9,180.0,top
LED1,165.5,-111.0,90.0,top
R1,125.5,-114.3,270.0,top
R10,87.2,-108.8,0.0,top
R11,90.9,-113.2,270.0,top
R12,87.2,-107.6,180.0,top
R13,97.1,-106.0,0.0,top
R14,88.7,-113.2,90.0,top
R15,89.8,-113.2,90.0,top
R16,90.6,-104.2,0.0,top
R17,165.5,-108.3,270.0,top
R18,86.9,-96.5,0.0,top
R19,158.4,-114.4,270.0,top
R2,94.7,-82.5,0.0,top
R20,124.2,-114.5,270.0,top
R21,86.9,-97.7,180.0,top
R3,97.0,-82.5,180.0,top
R5,90.8,-82.5,180.0,top
R6,88.4,-82.5,180.0,top
R9,92.0,-113.2,90.0,top
U1,95.5,-96.2,0.0,top
U2,96.2,-84.9,270.0,top
U3,91.6,-108.7,90.0,top
U4,88.1,-102.3,0.0,top
U5,89.7,-97.6,0.0,top
USB1,89.2,-88.9,270.0,top
X1,93.9,-102.8,0.0,top
